,taxid,count_star()
404,329993,1
405,28195,2388
406,1303590,1808
407,348442,3553
408,83683,1684
409,67384,9
410,394935,4837
411,195064,2413
412,151276,2385
413,693,3660
414,504937,4563
415,43675,1991
416,67255,25
417,67343,11
418,390842,2847
419,88431,3345
420,194963,6514
421,1387353,5693
422,69221,19
423,882446,1
424,517720,3799
425,232270,2
426,111769,3541
427,85044,4925
428,1609559,1997
429,74829,4228
430,258533,6271
431,240427,3089
432,29367,5300
433,1045764,1
434,1036677,1
435,419005,2225
436,256839,4219
437,52227,2494
438,1071054,1
439,1216297,1
440,291186,2981
441,217031,4048
442,1823,6808
443,33039,2896
444,303380,2943
445,294936,5663
446,671622,2
447,1420899,6866
448,65735,2994
449,985012,3213
450,33058,11
451,163003,2017
452,1381558,6992
453,418707,2
454,562969,2
455,67350,8204
456,86179,4
457,1484,2254
458,82801,2143
459,1079859,4993
460,546157,2
461,531,2556
462,73098,4680
463,381,7252
464,227924,2367
465,45629,2
466,78058,8
467,266805,3
468,93716,1
469,543356,3079
470,47856,4
471,67319,6984
472,544911,2
473,478441,3433
474,62322,4618
475,933926,3807
476,161890,2132
477,149712,2
478,83771,2306
479,52259,8391
480,40989,5033
481,528191,6538
482,92403,563
483,1894,7620
484,548918,1915
485,68230,7558
486,407152,5430
487,45668,4177
488,361279,3715
489,192073,3727
490,189722,2334
491,1203599,22
492,131081,1
493,1137799,4400
494,67271,18
495,56055,2844
496,95300,5799
497,1392758,9895
498,29575,1556
499,85693,5658
500,50728,3474
501,1323731,5553
502,83619,2994
503,1033736,2713
504,68271,39
505,68175,10205
506,1185412,4715
507,57498,4000
508,119864,4118
509,401558,5844
510,71452,4181
511,310300,2871
512,147802,1214
513,394095,10510
514,216,1960
515,321661,5064
516,310514,2694
517,197482,2654
518,1450648,4505
519,117506,2720
520,200475,3396
521,699437,4170
522,376807,1529
523,459471,1482
524,335286,4213
525,1338,1812
526,79882,4
527,33966,20
528,58119,2
529,568872,6395
530,149015,16
531,331697,5113
532,990371,3697
533,1078050,2684
534,587872,3251
535,76124,1417
536,1124188,2756
537,682956,6102
538,404881,4024
539,35804,3239
540,67304,8295
541,101383,4047
542,570012,4
543,481446,3819
544,435880,3809
545,867,2275
546,551990,3190
547,53356,3555
548,33936,3519
549,99480,4162
550,1282,2492
551,36856,5290
552,35841,3440
553,395599,6120
554,1928,7664
555,1226758,5
556,290054,1647
557,69224,3953
558,1605892,4322
